"abbrName","awayLosses","awayTies","awayWins","calendarYear","capAvailable","capRoom","capSpent","cityName","confLosses","confTies","confWins","conferenceId","conferenceName","defPassYds","defPassYdsRank","defRushYds","defRushYdsRank","defScheme","defTotalYds","defTotalYdsRank","displayName","divLosses","divName","divTies","divWins","divisionId","divisionName","homeLosses","homeTies","homeWins","injuryCount","logoId","netPts","nickName","offPassYds","offPassYdsRank","offRushYds","offRushYdsRank","offScheme","offTotalYds","offTotalYdsRank","ovrRating","playoffStatus","prevRank","primaryColor","ptsAgainst","ptsAgainstRank","ptsFor","ptsForRank","rank","seasonIndex","secondaryColor","seed","stageIndex","tODiff","teamId","teamName","teamOvr","totalLosses","totalTies","totalWins","userName","weekIndex","winLossStreak","winPct"
"SF",3,0,1,2026,52560000,279800000,227240000,"San Francisco",2,0,5,777912320,"NFC",2675,16,1153,14,19,3828,16,"49ers",0,"NFC West",0,3,786169863,"NFC West",1,0,6,1,14,19,"Niners",2592,13,1251,12,0,3843,9,85,1,8,11141120,22,6,24,12,9,3,11506269,4,1,6,788922368,"49ers",85,4,0,7,"",12,1,0.636
"CHI",3,0,3,2026,101610000,279800000,178190000,"Chicago",4,0,6,777912320,"NFC",2761,19,1214,21,13,3975,21,"Bears",2,"NFC North",0,3,786169861,"NFC North",1,0,5,2,0,41,"Bears",2874,9,1559,1,4,4433,6,84,1,29,726570,23,8,27,7,7,3,15089920,5,1,4,788922369,"Bears",84,4,0,8,"",12,1,0.667
"CIN",3,0,4,2026,72300000,279800000,207500000,"Cincinnati",2,0,5,775159808,"AFC",2447,12,1152,13,11,3599,10,"Bengals",1,"AFC North",0,3,786169857,"AFC North",2,0,2,1,1,3,"Bengals",2585,14,869,30,3,3454,23,86,1,18,16469780,24,15,24,11,14,3,0,6,1,6,788922370,"Bengals",86,5,0,6,"",12,3,0.545
"BUF",4,0,1,2026,102750000,279800000,177050000,"Buffalo",6,0,1,775159808,"AFC",2860,22,1461,31,13,4321,29,"Bills",3,"AFC East",0,1,786169856,"AFC East",5,0,2,0,2,-116,"Bills",2234,28,1026,23,0,3260,27,83,0,32,798338,27,24,17,30,30,3,13961738,16,1,0,788922371,"Bills",83,9,0,3,"",12,253,0.25
"DEN",3,0,1,2026,71180000,279800000,208620000,"Denver",5,0,3,775159808,"AFC",2415,10,1408,30,13,3823,15,"Broncos",4,"AFC West",0,0,786169859,"AFC West",4,0,3,0,3,-10,"Broncos",2438,19,1403,2,5,3841,10,85,0,30,664387,24,16,23,16,25,3,16534530,11,1,2,788922372,"Broncos",85,7,0,4,"",12,1,0.364
"HNL",2,0,4,2026,81360000,279800000,198440000,"Honolulu",2,0,6,775159808,"AFC",2237,3,844,5,11,3081,4,"Blues",2,"AFC North",0,2,786169857,"AFC North",0,0,6,0,143,238,"Blues",4070,2,848,31,0,4918,3,85,1,10,868514,21,2,40,3,2,3,10198176,1,1,-2,788922373,"Blues",85,2,0,10,"Dr Fuzzyman",12,10,0.833
"TB",2,0,4,2026,84400000,279800000,195400000,"Tampa Bay",3,0,4,777912320,"NFC",3081,28,1173,19,13,4254,27,"Buccaneers",1,"NFC South",0,3,786169862,"NFC South",3,0,3,3,5,-11,"Bucs",2322,21,1330,8,0,3652,16,84,1,23,10685741,23,9,22,19,10,3,4078133,6,1,5,788922374,"Buccaneers",84,5,0,7,"",12,255,0.583
"ARI",6,0,1,2026,109680000,279800000,170120000,"Arizona",6,0,1,777912320,"NFC",2401,9,1394,28,13,3795,14,"Cardinals",3,"NFC West",0,0,786169863,"NFC West",3,0,1,0,6,-98,"Cardinals",2142,29,913,28,4,3055,32,83,0,21,8847399,23,10,14,32,32,3,16777215,16,1,-5,788922375,"Cardinals",83,9,0,2,"",12,253,0.182
"LAC",3,0,3,2026,78730000,279800000,201070000,"Los Angeles",4,0,3,775159808,"AFC",2313,6,1265,24,13,3578,8,"Chargers",3,"AFC West",0,2,786169859,"AFC West",4,0,1,1,7,-52,"Bolts",2290,23,1068,20,3,3358,24,84,0,24,32966,23,11,18,28,24,3,16761358,10,1,-1,788922378,"Chargers",84,7,0,4,"",12,254,0.364
"AUS",2,0,5,2026,113430000,279800000,166370000,"Austin",1,0,6,775159808,"AFC",2326,7,725,1,11,3051,2,"Bisons",0,"AFC West",0,5,786169859,"AFC West",0,0,4,0,142,161,"Bisons",3063,6,1398,3,10,4461,5,85,1,4,1460108,20,1,35,4,3,3,14566183,2,1,-6,788922379,"Bisons",85,2,0,9,"Fiskenator",12,4,0.818
"IND",4,0,1,2026,72940000,279800000,206860000,"Indianapolis",5,0,3,775159808,"AFC",2228,2,1257,23,16,3485,6,"Colts",3,"AFC South",0,2,786169858,"AFC South",3,0,3,2,9,-65,"Colts",2121,30,1070,19,0,3191,30,84,0,26,78697,22,7,16,31,22,3,16777215,13,1,-1,788922380,"Colts",84,7,0,4,"",12,255,0.364
"WAS",2,0,4,2026,64690000,279800000,215110000,"Washington",5,0,3,777912320,"NFC",2928,25,1268,25,18,4196,25,"Commanders",3,"NFC East",0,1,786169860,"NFC East",3,0,3,1,25,-52,"Commanders",2529,16,1194,14,3,3723,14,85,0,28,5903380,24,17,20,24,12,3,16758290,8,1,5,788922381,"Commanders",85,5,0,7,"",12,255,0.583
"PAR",1,0,5,2026,87180000,279800000,192620000,"Paris",0,0,8,777912320,"NFC",3260,31,779,3,11,4039,23,"Condors",0,"NFC East",0,5,786169860,"NFC East",0,0,6,4,147,351,"Condors",5138,1,1246,13,2,6384,1,87,1,3,3214402,25,20,54,1,1,3,5723991,1,1,10,788922382,"Condors",87,1,0,11,"The Real JMD",12,1,0.917
"TOR",0,0,6,2026,25550000,279800000,254250000,"Toronto",2,0,7,775159808,"AFC",2181,1,887,6,13,3068,3,"Antlers",1,"AFC East",0,4,786169856,"AFC East",3,0,2,1,150,106,"Antlers",3012,7,1131,18,0,4143,8,87,1,2,4745267,23,12,33,5,5,3,6305811,3,1,-6,788922383,"Antlers",87,3,0,8,"Rusty Matador",12,255,0.727
"PHI",3,0,3,2026,96350000,279800000,183450000,"Philadelphia",2,0,4,777912320,"NFC",2855,21,982,7,15,3837,18,"Eagles",1,"NFC East",0,1,786169860,"NFC East",2,0,3,0,12,-33,"Eagles",2286,24,1309,9,10,3595,19,86,0,15,18513,26,21,23,15,17,3,10660525,9,1,-6,788922384,"Eagles",86,5,0,6,"",12,2,0.545
"ATL",3,0,5,2026,31560000,279800000,248240000,"Atlanta",3,0,6,777912320,"NFC",2964,27,1214,22,17,4178,24,"Falcons",1,"NFC South",0,3,786169862,"NFC South",1,0,3,1,13,27,"Falcons",3180,4,1382,4,0,4562,4,85,1,5,10685741,27,25,29,6,6,3,0,3,1,-4,788922385,"Falcons",85,4,0,8,"",12,2,0.667
"NYG",4,0,1,2026,58760000,279800000,221040000,"New York",7,0,2,777912320,"NFC",2868,23,1481,32,14,4349,30,"Giants",4,"NFC East",0,1,786169860,"NFC East",5,0,2,1,15,-112,"G-Men",2321,22,1171,15,10,3492,22,84,0,17,74578,28,28,19,27,29,3,10685741,14,1,-4,788922387,"Giants",84,9,0,3,"",12,255,0.25
"JAX",2,0,4,2026,84330000,279800000,195470000,"Jacksonville",5,0,4,775159808,"AFC",2951,26,1342,27,13,4293,28,"Jaguars",4,"AFC South",0,1,786169858,"AFC South",5,0,1,2,16,-62,"Jags",2268,25,1369,5,10,3637,18,86,0,14,25974,24,18,19,26,18,3,0,8,1,3,788922389,"Jaguars",86,7,0,5,"",12,254,0.417
"NYJ",3,0,4,2026,83110000,279800000,196690000,"New York",3,0,4,775159808,"AFC",2709,17,1153,15,19,3862,19,"Jets",2,"AFC East",0,2,786169856,"AFC East",2,0,2,1,17,-4,"Jets",2806,10,1022,24,5,3828,11,88,1,11,1136448,24,19,23,14,15,3,16777215,7,1,0,788922390,"Jets",88,5,0,6,"",12,4,0.545
"DET",4,0,2,2026,44360000,279800000,235440000,"Detroit",6,0,2,777912320,"NFC",2736,18,1297,26,14,4033,22,"Lions",4,"NFC North",0,1,786169861,"NFC North",5,0,0,2,18,-30,"Lions",2679,12,1055,22,5,3734,13,85,0,20,30390,27,26,24,10,31,3,11581372,15,1,5,788922391,"Lions",85,9,0,2,"",12,252,0.182
"BA",1,0,4,2026,96690000,279800000,183110000,"Buenos Aires",2,0,5,777912320,"NFC",2870,24,749,2,13,3619,11,"Snowhawks",0,"NFC North",0,3,786169861,"NFC North",1,0,5,0,180,272,"Snowhawks",3731,3,1253,10,0,4984,2,87,1,1,4084842,23,13,47,2,4,3,16294440,2,1,5,788922393,"Snowhawks",87,2,0,9,"Solitaire X",12,3,0.818
"MEL",1,0,4,2026,125960000,279800000,153840000,"Melbourne",3,0,3,777912320,"NFC",2238,4,790,4,17,3028,1,"Steamers",2,"NFC South",0,1,786169862,"NFC South",4,0,2,1,181,12,"Steamers",1822,32,1364,6,1,3186,31,85,0,19,11936037,21,3,22,18,13,3,2039583,10,1,2,788922394,"Steamers",85,5,0,6,"ShuaStatic24",12,255,0.545
"NE",2,0,2,2026,73610000,279800000,206190000,"New England",5,0,3,775159808,"AFC",3146,29,1083,8,14,4229,26,"Patriots",2,"AFC East",0,1,786169856,"AFC East",5,0,2,1,21,-95,"Pats",2447,18,1066,21,4,3513,21,85,0,13,795456,29,30,20,23,20,3,13111342,9,1,-3,788922395,"Patriots",85,7,0,4,"",12,252,0.364
"LV",1,0,3,2026,66430000,279800000,213370000,"Las Vegas",3,0,4,775159808,"AFC",2578,15,1144,12,17,3722,12,"Raiders",2,"AFC West",0,2,786169859,"AFC West",3,0,4,2,22,-56,"Raiders",2238,27,1354,7,4,3592,20,86,1,25,10923696,26,22,21,22,8,3,0,5,1,-3,788922396,"Raiders",86,4,0,7,"",12,2,0.636
"LAR",3,0,4,2026,107110000,279800000,172690000,"Los Angeles",4,0,4,777912320,"NFC",2463,13,1125,10,13,3588,9,"Rams",2,"NFC West",0,2,786169863,"NFC West",1,0,3,1,23,14,"Rams",2763,11,945,26,0,3708,15,84,1,9,13716,21,4,22,17,11,3,16765184,7,1,2,788922397,"Rams",84,4,0,7,"",12,4,0.636
"BAL",3,0,2,2026,90560000,279800000,189240000,"Baltimore",6,0,2,775159808,"AFC",2571,14,1164,17,17,3735,13,"Ravens",3,"AFC North",0,1,786169857,"AFC North",5,0,1,0,24,-108,"Ravens",1963,31,1252,11,1,3215,29,85,0,27,2364255,28,29,19,25,28,3,0,15,1,-6,788922398,"Ravens",85,8,0,3,"",12,253,0.273
"NO",3,0,3,2026,36520000,279800000,243280000,"New Orleans",6,0,3,777912320,"NFC",2430,11,1401,29,12,3831,17,"Saints",4,"NFC South",0,1,786169862,"NFC South",5,0,0,1,26,-60,"Saints",2556,15,706,32,2,3262,26,86,0,12,13876365,26,23,21,21,27,3,0,13,1,5,788922399,"Saints",86,8,0,3,"",12,255,0.273
"SEA",4,0,1,2026,72080000,279800000,207720000,"Seattle",4,0,3,777912320,"NFC",3197,30,1167,18,12,4364,31,"Seahawks",2,"NFC West",0,2,786169863,"NFC West",3,0,3,1,27,-69,"Seahawks",2942,8,881,29,3,3823,12,84,0,31,5426,32,31,26,8,23,3,6929960,12,1,2,788922400,"Seahawks",84,7,0,4,"",12,252,0.364
"PIT",3,0,2,2026,51100000,279800000,228700000,"Pittsburgh",4,0,3,775159808,"AFC",2332,8,1111,9,14,3443,5,"Steelers",1,"AFC North",0,1,786169857,"AFC North",4,0,2,1,28,-5,"Steelers",2240,26,1013,25,6,3253,28,84,0,16,15641886,21,5,21,20,21,3,0,12,1,3,788922401,"Steelers",84,7,0,4,"",12,255,0.364
"HOU",2,0,4,2026,66360000,279800000,213440000,"Houston",3,0,4,775159808,"AFC",2772,20,1154,16,19,3926,20,"Texans",1,"AFC South",0,4,786169858,"AFC South",3,0,2,0,31,-47,"Texans",2473,17,1170,16,0,3643,17,86,1,22,5183,27,27,23,13,16,3,12849712,4,1,-3,788922402,"Texans",86,5,0,6,"",12,2,0.545
"TEN",4,0,1,2026,105670000,279800000,174130000,"Tennessee",5,0,3,775159808,"AFC",3483,32,1133,11,14,4616,32,"Titans",1,"AFC South",0,2,786169858,"AFC South",4,0,3,1,29,-92,"Titans",3071,5,1139,17,0,4210,7,86,0,6,4494802,32,32,24,9,26,3,5426,14,1,1,788922403,"Titans",86,8,0,4,"",12,255,0.333
"MIN",3,0,2,2026,112320000,279800000,167480000,"Minnesota",5,0,3,777912320,"NFC",2300,5,1212,20,13,3512,7,"Vikings",2,"NFC North",0,1,786169861,"NFC North",4,0,2,1,30,-67,"Vikes",2380,20,925,27,0,3305,25,83,0,7,5187203,23,14,17,29,19,3,16762415,11,1,0,788922404,"Vikings",83,7,0,4,"",12,254,0.364
